Alert_ID,Inference_Row_ID,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Air_temperature_K_rolling_mean,Air_temperature_K_rolling_std,Air_temperature_K_rolling_min,Air_temperature_K_rolling_max,Air_temperature_K_change,Process_temperature_K_rolling_mean,Process_temperature_K_rolling_std,Process_temperature_K_rolling_min,Process_temperature_K_rolling_max,Process_temperature_K_change,Rotational_speed_rpm_rolling_mean,Rotational_speed_rpm_rolling_std,Rotational_speed_rpm_rolling_min,Rotational_speed_rpm_rolling_max,Rotational_speed_rpm_change,Torque_Nm_rolling_mean,Torque_Nm_rolling_std,Torque_Nm_rolling_min,Torque_Nm_rolling_max,Torque_Nm_change,temperature_difference,power_consumption,load_signal,ambient_temperature,load_density,humidity,maintenance_due,shift_Morning,shift_Night,ambient_difference,load_stress,load_density_interaction,temperature_humidity_interaction,torque_speed_ratio,maintenance_load_interaction,rpm_std_10,torque_std_10,load_density_mean_10,Type_L,Type_M,Machine_Status_Code,Predicted_Status_Code,Critical_Class_Probability,Critical_Alert,Prediction_Status,Probability_Class_0,Probability_Class_1,Probability_Class_2,Alert_Level,Recommended_Action
11,1694,302.7,310.7,1369.0,47.5,302.64,0.0699205898838673,302.5,302.7,0.0,310.56000000000006,0.0699205899155009,310.5,310.7,0.0999999999999659,1576.3,170.91001531019717,1349.0,1880.0,-317.0,35.94,9.9727629070384,22.7,51.2,21.2,8.0,6809.663876043676,65027.5,302.7,0.475,67.9745085543826,0.0,0.0,1.0,0.0,65027.5,22.5625,21119.67980784667,0.034696859021158,0.0,170.91001531019717,9.9727629070384,0.3594,1.0,0.0,2,2,0.9800196349775897,True,CRITICAL,0.013402930341303762,0.006577434681106534,0.9800196349775897,CRITICAL,Schedule immediate inspection and preventive maintenance
12,1429,302.6,311.0,1369.0,60.0,302.43999999999994,0.1173787790794807,302.3,302.6,0.0,311.0,0.0666666667158668,310.9,311.1,0.0,1513.9,145.92041209736882,1369.0,1905.0,-168.0,41.010000000000005,10.310560928808243,20.9,60.0,24.5,8.399999999999977,8601.680685528854,82140.0,302.6,0.6,72.66182071543804,0.0,1.0,0.0,0.0,82140.0,36.0,22597.82624250123,0.0438276113951469,0.0,145.92041209736882,10.310560928808243,0.4101,1.0,0.0,2,2,0.9792797431915092,True,CRITICAL,0.01768160914096388,0.0030386476675269038,0.9792797431915092,CRITICAL,Schedule immediate inspection and preventive maintenance
13,5,301.1,310.4,1312.0,73.6,301.1,0.0471404521223474,301.0,301.2,0.0,310.15,0.1433720878151102,310.0,310.4,0.0,1549.6,216.20062699055603,1212.0,1874.0,-562.0,42.55,16.691132043360252,24.8,73.6,48.8,9.299999999999956,10112.074657570727,96563.2,301.1,0.736,66.59664814257222,0.0,0.0,1.0,0.0,96563.2,54.1696,20671.599583454416,0.0560975609755669,0.0,216.20062699055603,16.691132043360252,0.4254999999999999,1.0,0.0,2,2,0.9787628598069145,True,CRITICAL,0.01985897470002189,0.0013781654930635626,0.9787628598069145,CRITICAL,Schedule immediate inspection and preventive maintenance
14,1481,302.1,310.1,1379.0,48.2,302.02,0.0632455532058785,301.9,302.1,0.0,309.88,0.1475729574838482,309.7,310.1,0.0,1466.1,114.09201939175432,1280.0,1649.0,-164.0,46.12,11.251943042080391,31.0,62.7,12.400000000000006,8.0,6960.491739342522,66467.8,302.1,0.482,74.50547561335472,0.0,0.0,0.0,0.0,66467.8,23.2324,23104.1479877013,0.0349528643944634,0.0,114.09201939175432,11.251943042080391,0.4612,0.0,1.0,2,2,0.9703616816772167,True,CRITICAL,0.0033768976795865717,0.026261420643196608,0.9703616816772167,CRITICAL,Schedule immediate inspection and preventive maintenance
15,879,302.4,310.3,1375.0,52.5,302.45,0.0527046276750713,302.4,302.5,-0.1000000000000227,310.43,0.0674948558064136,310.3,310.5,-0.0999999999999659,1478.0,69.76627647604865,1372.0,1586.0,-47.0,41.66,4.847725698143873,34.3,52.5,10.6,7.900000000000034,7559.457322700439,72187.5,302.4,0.525,59.39788198953744,0.0,1.0,0.0,0.0,72187.5,27.5625,18431.16278135347,0.0381818181817904,0.0,69.76627647604865,4.847725698143873,0.4165999999999999,0.0,1.0,2,2,0.9678876504116816,True,CRITICAL,0.005243663860345556,0.026868685727972855,0.9678876504116816,CRITICAL,Schedule immediate inspection and preventive maintenance
16,71,301.9,310.4,1373.0,48.0,301.83,0.082327260237067,301.7,301.9,0.0,310.27000000000004,0.1251665557212636,310.1,310.4,0.0,1556.5,183.8092308164433,1373.0,1972.0,-237.0,39.14,9.11350646019416,21.3,50.2,13.200000000000005,8.5,6901.450741406056,65904.0,301.9,0.48,78.64366428835629,0.0,1.0,0.0,0.0,65904.0,23.04,24410.99339510579,0.0349599417334049,0.0,183.8092308164433,9.11350646019416,0.3913999999999999,0.0,1.0,2,2,0.9673538323709023,True,CRITICAL,0.014185045742412422,0.018461121886685205,0.9673538323709023,CRITICAL,Schedule immediate inspection and preventive maintenance
17,891,303.2,311.5,1336.0,58.2,303.28000000000003,0.0788810637867966,303.2,303.4,0.0,311.61,0.1100504935033789,311.5,311.8,0.0,1444.4,97.7811615576059,1301.0,1544.0,-177.0,44.96,8.54793022380915,35.5,61.0,20.300000000000004,8.300000000000011,8142.505503280171,77755.2,303.2,0.5820000000000001,79.40401911294026,0.0,1.0,0.0,0.0,77755.2,33.872400000000006,24734.351953680893,0.0435628742514644,0.0,97.7811615576059,8.54793022380915,0.4496,0.0,1.0,2,2,0.9673425233609214,True,CRITICAL,0.015458245372112123,0.01719923126696644,0.9673425233609214,CRITICAL,Schedule immediate inspection and preventive maintenance
18,1336,303.4,311.4,1307.0,54.0,303.22,0.1135292424471391,303.1,303.4,0.0999999999999659,311.25,0.07071067817364,311.2,311.4,0.0999999999999659,1508.0,131.39338728498123,1307.0,1679.0,-259.0,42.45,8.470373204423868,31.7,54.0,7.899999999999999,8.0,7390.910876835347,70578.0,303.4,0.54,61.923798833135294,0.0,0.0,0.0,0.0,70578.0,29.160000000000004,19283.07095663833,0.0413159908186371,0.0,131.39338728498123,8.470373204423868,0.4245,0.0,1.0,2,2,0.9644131479136927,True,CRITICAL,0.026785204719600223,0.00880164736670716,0.9644131479136927,CRITICAL,Schedule immediate inspection and preventive maintenance
19,1559,295.8,306.3,1235.0,76.2,295.78,0.0918936583504246,295.6,295.9,0.0,306.33000000000004,0.0674948557691968,306.2,306.4,0.0,1534.1,239.0357713816069,1235.0,1915.0,-102.0,42.23,17.188888529770846,21.7,76.2,21.6,10.5,9854.861995045823,94107.0,295.8,0.762,53.72680762255206,0.0,1.0,0.0,0.0,94107.0,58.064400000000006,16456.521174787697,0.0617004048582496,0.0,239.0357713816069,17.188888529770846,0.4223,0.0,1.0,2,2,0.9643161276756592,True,CRITICAL,0.03470093714534808,0.0009829351789926778,0.9643161276756592,CRITICAL,Schedule immediate inspection and preventive maintenance
20,1864,303.5,312.0,1366.0,54.5,303.44,0.0699205898944909,303.3,303.5,0.0,311.88,0.0788810638412226,311.8,312.0,0.0,1608.3,258.48191426093666,1366.0,2268.0,-390.0,38.95,12.330202305270156,15.8,58.9,24.8,8.5,7796.071609393311,74447.0,303.5,0.545,60.95458651698641,0.0,0.0,0.0,0.0,74447.0,29.7025,19017.83099329976,0.0398975109809371,0.0,258.48191426093666,12.330202305270156,0.3894999999999999,1.0,0.0,2,2,0.9639979917668696,True,CRITICAL,0.027616353258674307,0.008385654974455998,0.9639979917668696,CRITICAL,Schedule immediate inspection and preventive maintenance
21,290,300.7,310.2,1364.0,65.3,300.83000000000004,0.0948683298280191,300.7,301.0,-0.1000000000000227,310.47,0.1702938636855689,310.2,310.7,-0.1000000000000227,1519.5,158.1154641393392,1330.0,1894.0,-162.0,41.78,12.935893217452495,21.9,65.3,29.0,9.5,9327.304812704,89069.2,300.7,0.653,47.31328619903928,0.0,1.0,0.0,0.0,89069.2,42.6409,14676.581378941984,0.04787390029322,0.0,158.1154641393392,12.935893217452495,0.4178,0.0,0.0,2,2,0.9606793943206923,True,CRITICAL,0.0312025446025779,0.008118061076729828,0.9606793943206923,CRITICAL,Schedule immediate inspection and preventive maintenance
22,1940,302.2,310.1,1368.0,51.6,301.95,0.1779513042012264,301.7,302.2,0.0,309.78000000000003,0.2250925735538436,309.5,310.1,0.0,1480.4,140.74263351553566,1298.0,1719.0,-53.0,43.37,10.497412379566038,27.2,65.5,6.200000000000003,7.900000000000034,7392.04185019064,70588.8,302.2,0.516,76.68037793441201,0.0,0.0,0.0,0.0,70588.8,26.6256,23778.585197461165,0.0377192982455864,0.0,140.74263351553566,10.497412379566038,0.4337,0.0,1.0,2,2,0.9592144466164978,True,CRITICAL,0.02689314445071633,0.013892408932785894,0.9592144466164978,CRITICAL,Schedule immediate inspection and preventive maintenance
23,1466,302.3,310.9,1366.0,48.4,302.31000000000006,0.0567646212221405,302.2,302.4,0.0,310.86,0.0843274043075586,310.7,311.0,0.0999999999999659,1513.0,122.4735799173706,1366.0,1762.0,-396.0,39.6,7.342115952957074,27.8,48.9,20.6,8.599999999999966,6923.483777883233,66114.4,302.3,0.484,58.43667634107301,1.0,1.0,0.0,0.0,66114.4,23.4256,18167.9626744396,0.0354319180087588,0.484,122.4735799173706,7.342115952957074,0.396,0.0,0.0,2,2,0.9571751603329253,True,CRITICAL,0.02177876310496336,0.021046076562111486,0.9571751603329253,CRITICAL,Schedule immediate inspection and preventive maintenance
24,1922,301.9,309.9,1374.0,48.5,302.18,0.2250925735491276,301.9,302.6,-0.1000000000000227,310.29,0.2923088169191286,309.9,310.8,-0.1000000000000227,1535.9,172.893319709002,1361.0,1832.0,-458.0,38.510000000000005,9.573046653089223,22.9,50.4,25.6,8.0,6978.419761419008,66639.0,301.9,0.485,69.46700578163022,0.0,1.0,0.0,0.0,66639.0,23.5225,21527.825091727205,0.035298398835491,0.0,172.893319709002,9.573046653089223,0.3850999999999999,1.0,0.0,2,2,0.9559748897897655,True,CRITICAL,0.016520725480127375,0.027504384730107183,0.9559748897897655,CRITICAL,Schedule immediate inspection and preventive maintenance
25,329,301.6,310.6,1222.0,70.0,301.52,0.0421637021752329,301.5,301.6,0.1000000000000227,310.51,0.0875595036334288,310.4,310.6,0.1000000000000227,1518.0,128.48951535263092,1222.0,1691.0,-365.0,41.28,11.28979873848753,30.1,70.0,36.2,9.0,8957.727852935697,85540.0,301.6,0.7,46.6064301051553,0.0,1.0,0.0,0.0,85540.0,49.0,14475.957190661236,0.0572831423894784,0.0,128.48951535263092,11.28979873848753,0.4127999999999999,1.0,0.0,0,2,0.9554539913130908,True,CRITICAL,0.041404317042330926,0.0031416916445783025,0.9554539913130908,CRITICAL,Schedule immediate inspection and preventive maintenance
26,929,299.2,308.6,1267.0,68.2,299.08000000000004,0.0788810637747362,298.9,299.2,0.0999999999999659,308.39,0.1286683937705022,308.2,308.6,0.1000000000000227,1514.5,173.50520325210744,1267.0,1693.0,-380.0,41.99,12.913339356391663,30.4,68.2,33.2,9.400000000000034,9048.77120803673,86409.40000000001,299.2,0.682,41.05692869244508,1.0,0.0,0.0,0.0,86409.40000000001,46.51240000000001,12670.168194488551,0.0538279400157428,0.682,173.50520325210744,12.913339356391663,0.4199,1.0,0.0,2,2,0.9515312796161026,True,CRITICAL,0.0462329685003718,0.002235751883525606,0.9515312796161026,CRITICAL,Schedule immediate inspection and preventive maintenance
27,1836,300.3,311.2,1381.0,65.2,300.33000000000004,0.048304589202723,300.3,300.4,-0.0999999999999659,311.29,0.1370320319794958,311.1,311.5,0.0,1462.1,177.9877960860096,1332.0,1831.0,-450.0,47.96,14.236354090067127,23.4,65.2,41.8,10.899999999999975,9429.09241468031,90041.2,300.3,0.652,71.47519132146918,0.0,0.0,0.0,0.0,90041.2,42.5104,22243.079539241207,0.047212165097721,0.0,177.9877960860096,14.236354090067127,0.4795999999999999,0.0,1.0,2,2,0.9433226245234634,True,CRITICAL,0.0406760307596176,0.01600134471691891,0.9433226245234634,CRITICAL,Schedule immediate inspection and preventive maintenance
28,1209,297.4,308.7,2874.0,4.2,297.37,0.0483045891545673,297.3,297.4,0.0,308.66,0.0516397779537306,308.6,308.7,0.0,1575.3,460.3773934984695,1276.0,2874.0,1441.0,41.99,14.370993161380484,4.2,57.4,-39.2,11.300000000000011,1264.0512200983892,12070.8,297.4,0.042,80.57270017274197,0.0,0.0,0.0,0.0,12070.8,0.1764,24872.79254332545,0.0014613778705631,0.0,460.3773934984695,14.370993161380484,0.4199,1.0,0.0,2,2,0.9414788173456139,True,CRITICAL,0.0001395255273019878,0.05838165712708414,0.9414788173456139,CRITICAL,Schedule immediate inspection and preventive maintenance
29,95,301.5,310.9,2760.0,8.0,301.45,0.0527046276746891,301.4,301.5,0.0,310.66,0.1173787791018885,310.5,310.9,0.0999999999999659,1676.8,404.2438208144501,1350.0,2760.0,1410.0,36.92,13.680058479407178,8.0,58.5,-50.5,9.399999999999975,2312.212193042088,22080.0,301.5,0.08,58.82416039276352,0.0,0.0,0.0,0.0,22080.0,0.64,18288.43146611017,0.0028985507246366,0.0,404.2438208144501,13.680058479407178,0.3692,1.0,0.0,2,2,0.939879776742663,True,CRITICAL,0.00011314360619343156,0.06000707965114349,0.939879776742663,CRITICAL,Schedule immediate inspection and preventive maintenance
30,1607,302.7,310.4,1305.0,55.2,302.66,0.0843274042761716,302.5,302.8,0.0999999999999659,310.42,0.1475729574904949,310.2,310.6,0.1999999999999886,1540.3,178.8071897634708,1305.0,1923.0,-618.0,39.510000000000005,10.50422666252867,21.5,55.2,33.7,7.699999999999989,7543.592279799812,72036.0,302.7,0.552,39.02582792957559,1.0,1.0,0.0,0.0,72036.0,30.470400000000005,12113.616989340262,0.0422988505746802,0.552,178.8071897634708,10.50422666252867,0.3951,0.0,0.0,2,2,0.9374235855084478,True,CRITICAL,0.05529508348819096,0.007281331003361197,0.9374235855084478,CRITICAL,Schedule immediate inspection and preventive maintenance
31,718,303.6,312.2,1371.0,54.6,303.56000000000006,0.0516397779742102,303.5,303.6,0.1000000000000227,312.02000000000004,0.1135292424881794,311.9,312.2,0.0,1563.0,185.49513320958843,1344.0,1827.0,-447.0,37.42999999999999,11.209921201031454,23.3,54.6,31.0,8.599999999999966,7838.964821090324,74856.6,303.6,0.546,58.985008126677286,0.0,1.0,0.0,0.0,74856.6,29.8116,18415.119537148646,0.0398249452953757,0.0,185.49513320958843,11.209921201031454,0.3742999999999999,0.0,0.0,2,2,0.9347140185801349,True,CRITICAL,0.05158596939834014,0.013700012021524946,0.9347140185801349,CRITICAL,Schedule immediate inspection and preventive maintenance
32,1093,302.7,311.1,1297.0,60.7,302.58000000000004,0.063245553207601,302.5,302.7,0.0999999999999659,310.99,0.0567646212772419,310.9,311.1,0.1000000000000227,1426.1,137.65694073795513,1284.0,1660.0,-292.0,50.370000000000005,10.783531682874314,33.9,68.0,21.700000000000003,8.400000000000034,8244.366409085063,78727.90000000001,302.7,0.607,42.583348017881015,1.0,1.0,0.0,0.0,78727.90000000001,36.8449,13247.679568362784,0.0468003084039731,0.607,137.65694073795513,10.783531682874314,0.5037,0.0,1.0,2,2,0.9232368497612347,True,CRITICAL,0.06414858408292759,0.012614566155837857,0.9232368497612347,CRITICAL,Schedule immediate inspection and preventive maintenance
33,1730,302.6,310.2,1325.0,62.4,302.62,0.0421637021446183,302.6,302.7,0.0,310.36,0.1264911064245049,310.2,310.5,0.0,1629.5,399.7138559853349,1325.0,2676.0,-548.0,40.31,16.84613044918955,10.8,66.8,41.1,7.599999999999966,8658.22935329347,82680.0,302.6,0.624,61.91697451750081,0.0,0.0,1.0,0.0,82680.0,38.9376,19206.64549532875,0.0470943396226059,0.0,399.7138559853349,16.84613044918955,0.4030999999999999,1.0,0.0,2,2,0.879178699374937,True,CRITICAL,0.11446870483190029,0.00635259579316271,0.879178699374937,CRITICAL,Schedule immediate inspection and preventive maintenance
34,17,299.5,310.8,1873.0,22.3,299.65,0.0849836585982364,299.5,299.8,-0.1000000000000227,310.95,0.0971825316393234,310.8,311.1,-0.0999999999999659,1683.8,272.3395756118492,1229.0,2144.0,644.0,34.47,14.406715255201291,17.7,65.2,-42.900000000000006,11.300000000000011,4373.924259862438,41767.9,299.5,0.223,47.01613842459334,0.0,1.0,0.0,0.0,41767.9,4.9729,14612.615822363612,0.011906033101969,0.0,272.3395756118492,14.406715255201291,0.3446999999999999,1.0,0.0,2,2,0.8602011539468694,True,CRITICAL,6.489755637410687e-05,0.13973394849675658,0.8602011539468694,CRITICAL,Schedule immediate inspection and preventive maintenance
35,607,298.9,309.1,2861.0,4.6,298.81,0.0567646212203686,298.7,298.9,0.0,309.12,0.0632455532042776,309.0,309.2,-0.0999999999999659,1602.8,463.8631982240741,1368.0,2861.0,1449.0,41.97,15.18940054409287,4.6,53.9,-39.5,10.200000000000044,1378.1748092277942,13160.6,298.9,0.046,75.49565601530452,0.0,0.0,1.0,0.0,13160.6,0.2115999999999999,23335.707274330627,0.0016078294302685,0.0,463.8631982240741,15.18940054409287,0.4196999999999999,1.0,0.0,2,2,0.854655925597661,True,CRITICAL,0.00018284242826553397,0.1451612319740735,0.854655925597661,CRITICAL,Schedule immediate inspection and preventive maintenance
36,1124,299.7,311.0,1983.0,21.0,299.7,0.0666666667147107,299.6,299.8,0.0999999999999659,311.06,0.1074967700299526,310.9,311.2,0.1000000000000227,1703.8,234.83223325977903,1448.0,2144.0,453.0,33.620000000000005,10.975204376735636,17.7,47.3,-17.799999999999997,11.300000000000011,4360.844762447992,41643.0,299.7,0.21,80.6961099533152,0.0,1.0,0.0,0.0,41643.0,4.41,25096.490195481027,0.0105900151285877,0.0,234.83223325977903,10.975204376735636,0.3361999999999999,1.0,0.0,2,2,0.8373267449642808,True,CRITICAL,3.296805893457272e-05,0.16264028697678456,0.8373267449642808,CRITICAL,Schedule immediate inspection and preventive maintenance
37,1009,300.5,311.2,1270.0,67.5,300.42999999999995,0.0483045891998615,300.4,300.5,0.0,311.11,0.0737864788094661,311.0,311.2,0.0,1522.8,230.7282191477886,1270.0,2013.0,-281.0,43.53,15.16245729132016,20.1,67.5,30.9,10.699999999999989,8977.101007632833,85725.0,300.5,0.675,42.94188476910078,0.0,0.0,1.0,0.0,85725.0,45.5625,13363.514540144162,0.0531496062991707,0.0,230.7282191477886,15.16245729132016,0.4352999999999999,1.0,0.0,2,2,0.8264057147068631,True,CRITICAL,0.15217319585254355,0.021421089440593375,0.8264057147068631,CRITICAL,Schedule immediate inspection and preventive maintenance
38,692,298.3,308.0,2886.0,3.8,298.48,0.1135292424391343,298.3,298.6,0.0,308.1,0.0942809041633447,308.0,308.2,0.0,1660.3,441.4949477501291,1325.0,2886.0,1333.0,35.71,13.705104482961422,3.8,54.0,-37.2,9.699999999999989,1148.4406104462846,10966.8,298.3,0.038,68.32692276488444,0.0,0.0,0.0,0.0,10966.8,0.1444,21044.69221158441,0.0013167013167008,0.0,441.4949477501291,13.705104482961422,0.3571,1.0,0.0,2,2,0.8008821271787411,True,CRITICAL,0.0003119305149634773,0.19880594230629542,0.8008821271787411,CRITICAL,Schedule immediate inspection and preventive maintenance
39,1289,303.7,312.1,1363.0,51.8,303.42,0.131656117729482,303.3,303.7,0.1999999999999886,311.9,0.1154700538837769,311.8,312.1,0.1000000000000227,1488.8,147.84361106700663,1316.0,1842.0,-78.0,44.06,10.47316146686902,24.5,56.8,-5.0,8.400000000000034,7393.570758615387,70603.4,303.7,0.518,71.49370063213203,1.0,1.0,0.0,0.0,70603.4,26.8324,22313.18396728841,0.0380044020542641,0.518,147.84361106700663,10.47316146686902,0.4406,1.0,0.0,2,2,0.7999029491438246,True,CRITICAL,0.18767596035029208,0.012421090505883234,0.7999029491438246,CRITICAL,Schedule immediate inspection and preventive maintenance
