UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_rolling_mean,Air_temperature_K_rolling_std,Air_temperature_K_rolling_min,Air_temperature_K_rolling_max,Air_temperature_K_change,Process_temperature_K_rolling_mean,Process_temperature_K_rolling_std,Process_temperature_K_rolling_min,Process_temperature_K_rolling_max,Process_temperature_K_change,Rotational_speed_rpm_rolling_mean,Rotational_speed_rpm_rolling_std,Rotational_speed_rpm_rolling_min,Rotational_speed_rpm_rolling_max,Rotational_speed_rpm_change,Torque_Nm_rolling_mean,Torque_Nm_rolling_std,Torque_Nm_rolling_min,Torque_Nm_rolling_max,Torque_Nm_change,Tool_wear_min_rolling_mean,Tool_wear_min_rolling_std,Tool_wear_min_rolling_min,Tool_wear_min_rolling_max,Tool_wear_min_change,temperature_difference,power_consumption,load_signal,tool_wear_change,ambient_temperature,load_density,humidity,vibration_level,maintenance_due,shift_Morning,shift_Night
19,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,0.1054092553392399,298.4,298.8,0.1000000000000227,309.13,0.1059349905476743,308.9,309.2,0.0,1563.1,248.9196434371722,1306.0,2035.0,-104.0,39.2,12.51843085658547,19.6,54.5,8.899999999999999,36.8,9.715966241192904,21.0,50.0,3.0,10.399999999999975,7453.638010152023,71177.0,3.0,298.8,0.545,40.04035985695426,1.306,0,False,False
20,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,0.1349897115423419,298.4,298.9,0.0999999999999659,309.16,0.1074967699778926,308.9,309.3,0.1000000000000227,1552.2,242.56948603555972,1306.0,2035.0,326.0,39.65,12.14644438142748,19.6,54.5,-22.0,40.2,9.51957048517539,24.0,55.0,5.0,10.400000000000034,5554.3358115467545,53040.0,5.0,298.9,0.325,48.01056839678768,1.632,0,True,False
21,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,0.1286683937710401,298.6,298.9,0.0,309.2,0.066666666667678,309.1,309.3,0.0,1511.5,233.71076616669225,1306.0,2035.0,-257.0,41.53,10.82035633013586,19.6,54.5,10.200000000000005,43.6,9.15544768005489,29.0,58.0,3.0,10.400000000000034,6148.358622463024,58712.50000000001,3.0,298.9,0.427,43.85216472641987,1.375,0,False,False
22,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,0.1286683937710541,298.6,298.9,-0.0999999999999659,309.22,0.0632455532044769,309.1,309.3,0.0,1514.2,232.72864504014603,1306.0,2035.0,75.0,41.58,10.835722813402386,19.6,54.5,2.0999999999999943,47.0,9.439868172337546,34.0,63.0,5.0,10.5,6802.595292573098,64959.99999999999,5.0,298.8,0.4479999999999999,36.42600124193241,1.45,0,True,False
23,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,0.134989711542383,298.6,298.9,0.0999999999999659,309.23999999999995,0.0516397779508376,309.2,309.3,0.0,1538.4,224.9381149462128,1306.0,2035.0,131.0,39.540000000000006,10.764365079072505,19.6,54.5,-14.099999999999998,50.1,9.780365819106969,37.0,65.0,2.0,10.400000000000034,5082.751338316391,48536.7,2.0,298.9,0.307,80.46520732030247,1.581,0,True,False
24,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,0.1475729574748138,298.6,299.0,0.1000000000000227,309.26,0.0699205898790666,309.2,309.4,0.0999999999999659,1540.0,226.59802882343604,1306.0,2035.0,177.0,39.11,11.262173660335542,19.6,54.5,-5.0,53.2,10.07527225990005,40.0,68.0,3.0,10.399999999999975,4731.3013681593,45180.6,3.0,299.0,0.257,35.41115656944458,1.758,0,True,False
25,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,0.1475729574748583,298.6,299.0,0.0,309.28000000000003,0.078881063775613,309.2,309.4,0.0,1492.6,147.2218280917158,1306.0,1758.0,-197.0,40.88,9.023647944275211,25.7,54.5,11.599999999999998,56.2,10.174041041351831,42.0,70.0,2.0,10.399999999999975,6097.339157768726,58225.3,2.0,299.0,0.373,71.80410721685428,1.561,0,False,False
26,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,0.1349897115425169,298.6,299.0,0.0,309.31,0.0994428926019631,309.2,309.5,0.1000000000000227,1524.5,188.02201407754845,1306.0,1861.0,300.0,38.37,10.123355833582728,23.3,54.5,-13.999999999999996,59.3,10.08904796741939,44.0,73.0,3.0,10.5,4540.784717670103,43361.3,3.0,299.0,0.233,42.60739434597583,1.861,0,False,True
27,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.91,0.1197218999742952,298.7,299.1,0.1000000000000227,309.34000000000003,0.1074967699780809,309.2,309.5,0.0,1544.6,172.78901714068664,1306.0,1861.0,-349.0,37.61,9.713844644515266,23.3,54.5,15.7,62.4,9.61711437432712,47.0,75.0,2.0,10.399999999999975,6175.114519896098,58968.0,2.0,299.1,0.39,80.61148109998,1.512,0,True,False
28,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,0.1080123449740662,298.8,299.1,0.0,309.36,0.0966091783088141,309.2,309.5,-0.1000000000000227,1584.7,184.23297448852352,1306.0,1861.0,299.0,35.51,10.058434824122056,23.3,54.5,-14.4,65.4,8.934328302800532,50.0,77.0,2.0,10.299999999999956,4665.327922433915,44550.600000000006,2.0,299.1,0.246,79.63979697949429,1.811,0,False,False
29,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,0.103279555899524,298.8,299.1,0.0,309.38,0.0788810637757825,309.3,309.5,0.0,1598.0,165.75148734040255,1375.0,1861.0,-372.0,34.480000000000004,8.265295585223274,23.3,44.8,19.6,68.6,8.52708104283708,55.0,82.0,5.0,10.299999999999956,6660.574360679817,63603.8,5.0,299.1,0.442,67.69505731846286,1.439,0,False,False
30,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,0.0994428926018697,298.8,299.1,-0.1000000000000227,309.39,0.0737864787384804,309.3,309.5,0.0,1604.1,168.24548863028843,1375.0,1861.0,254.0,34.239999999999995,8.363438952435258,23.3,44.8,-14.1,71.5,8.316649966583121,58.0,84.0,2.0,10.399999999999975,5336.445417069278,50959.3,2.0,299.0,0.301,68.61170749003026,1.693,0,True,False
31,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,0.0994428926018938,298.8,299.1,0.1000000000000227,309.41,0.0737864787385211,309.3,309.5,0.1000000000000227,1600.5,173.97972423372937,1339.0,1861.0,-354.0,34.79,9.127546828754774,23.3,48.2,18.1,74.3,7.97287066662109,63.0,86.0,2.0,10.399999999999975,6758.592051471818,64539.8,2.0,299.1,0.482,35.266957098484426,1.339,0,False,False
32,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,0.0674948557721591,298.9,299.1,-0.1000000000000227,309.42,0.063245553204866,309.3,309.5,-0.1000000000000227,1635.3,175.3301964231429,1339.0,1861.0,459.0,32.86,8.810751008474455,23.3,48.2,-22.700000000000003,76.9,8.116512661098863,65.0,89.0,3.0,10.399999999999975,4801.296052481281,45849.0,3.0,299.0,0.255,84.2435783056801,1.798,0,True,False
33,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.0516397779508961,299.0,299.1,0.0,309.43,0.0483045891559663,309.4,309.5,0.0,1619.1,187.93583420353303,1339.0,1861.0,-379.0,34.62,10.007863574876186,23.3,48.3,22.8,79.5,8.045012257431468,68.0,91.0,2.0,10.399999999999975,7177.251160464705,68537.7,2.0,299.0,0.483,78.89163017879072,1.419,0,True,False
34,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,0.0674948557721482,298.9,299.1,-0.1000000000000227,309.42,0.063245553204866,309.3,309.5,-0.0999999999999659,1609.8,182.52171864678968,1339.0,1861.0,246.0,35.3,9.555219632338256,23.3,48.3,-15.799999999999995,82.0,7.958224257542237,70.0,93.0,2.0,10.400000000000034,5666.647748912589,54112.5,2.0,298.9,0.325,79.7553112865046,1.665,0,False,True
35,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,0.0994428926018743,298.8,299.1,-0.0999999999999659,309.39,0.1197218999745316,309.1,309.5,-0.1999999999999886,1609.6,182.58221892250828,1339.0,1861.0,-106.0,35.04,9.530092689300922,23.3,48.3,2.200000000000003,84.5,7.691987172809575,73.0,95.0,2.0,10.300000000000011,5665.056008634771,54097.3,2.0,298.8,0.347,67.9622268525436,1.559,0,False,True
36,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,0.1197218999743262,298.8,299.1,0.0,309.36,0.1264911064074048,309.1,309.5,0.0999999999999659,1568.7,164.9693911002888,1339.0,1811.0,-107.0,37.57000000000001,9.424795901120508,24.6,48.6,13.9,87.0,7.601169500660944,75.0,98.0,3.0,10.399999999999975,7389.779903480055,70567.2,3.0,298.8,0.486,52.239346432726826,1.452,0,False,True
37,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,0.1159501808733556,298.8,299.1,0.0999999999999659,309.33,0.1251665557040909,309.1,309.5,0.0,1575.6,163.77301364999073,1339.0,1811.0,129.0,37.34,9.414079290556726,24.6,48.6,-11.9,89.6,7.486283753935917,77.0,101.0,3.0,10.300000000000011,6076.122935381484,58022.7,3.0,298.9,0.367,79.68243245452405,1.581,0,True,False
38,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.93999999999994,0.1173787790781782,298.8,299.1,-0.0999999999999659,309.3,0.1414213562378272,309.1,309.5,-0.0999999999999659,1538.4,145.60311351982378,1339.0,1798.0,-142.0,38.8,8.282914140969154,25.5,48.6,2.5,92.3,7.3037281195595485,82.0,104.0,3.0,10.300000000000011,5907.115722593864,56408.8,3.0,298.8,0.392,49.57584640755962,1.439,0,True,False
39,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.92,0.1032795558993386,298.8,299.1,0.0999999999999659,309.28000000000003,0.1398411797565225,309.1,309.5,0.0999999999999659,1532.4,151.27987308297168,1339.0,1798.0,-60.0,39.45,8.979513721057883,25.5,50.7,11.5,94.7,7.484057129065192,84.0,106.0,2.0,10.300000000000011,7321.51309511755,69915.3,2.0,298.9,0.507,63.13557716711014,1.379,1,False,False
40,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.9,0.1054092553393766,298.8,299.1,-0.0999999999999659,309.25,0.143372087784505,309.1,309.5,-0.0999999999999659,1498.1,149.6970644705871,1339.0,1798.0,-29.0,41.690000000000005,9.1796211492874,25.5,52.5,1.7999999999999972,97.4,8.044321668799151,86.0,111.0,5.0,10.300000000000011,7422.0126441058865,70875.0,5.0,298.8,0.525,39.98654861719412,1.35,0,False,False
41,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.87,0.0823272602353459,298.8,299.0,0.0,309.21,0.1197218999742994,309.1,309.4,0.0,1500.4,147.13576497008918,1350.0,1798.0,12.0,41.41,8.99993209850929,25.5,52.5,-7.100000000000001,100.1,8.319321553534976,89.0,113.0,2.0,10.300000000000011,6475.3251138731375,61834.8,2.0,298.8,0.4539999999999999,81.09778150663752,1.362,0,True,False
42,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.85,0.0707106781191911,298.8,299.0,0.0,309.18,0.1032795558994395,309.1,309.4,0.0,1457.4,108.17393401369834,1350.0,1665.0,6.0,43.940000000000005,7.453738808290925,32.5,52.5,5.399999999999999,102.7,8.525126261691279,91.0,115.0,2.0,10.300000000000011,7277.436550187684,69494.4,2.0,298.8,0.508,42.03852288856066,1.368,0,False,False
43,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.83000000000004,0.0483045891547131,298.8,298.9,0.0,309.15,0.0707106781194806,309.1,309.3,0.0,1452.3,111.34136697562124,1350.0,1665.0,0.0,44.02,7.509815798895026,32.5,52.5,-1.6999999999999955,105.3,8.525126261691282,93.0,117.0,2.0,10.300000000000011,7033.900287681404,67168.8,2.0,298.8,0.491,46.244840286520365,1.368,0,True,False
44,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.82,0.0421637021364202,298.8,298.9,0.0,309.14,0.0516397779505538,309.1,309.2,0.0999999999999659,1423.0,84.45511628472609,1350.0,1581.0,4.0,45.62,6.40603881765739,34.7,52.5,-0.6000000000000014,108.0,8.472176684759267,95.0,120.0,3.0,10.399999999999975,6968.261945172401,66542.0,3.0,298.8,0.485,62.906707906410745,1.372,0,False,True
45,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.82,0.0421637021364202,298.8,298.9,0.0,309.14000000000004,0.0516397779505538,309.1,309.2,-0.0999999999999659,1414.3,72.52746606171529,1350.0,1581.0,100.0,46.9,5.134199061197369,36.7,52.5,-1.0,111.0,8.666666666666721,98.0,125.0,5.0,10.300000000000011,7322.005277966611,69920.0,5.0,298.8,0.475,73.20465001064908,1.472,0,True,False
46,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.82000000000005,0.0421637021364202,298.8,298.9,0.0,309.13,0.0483045891551618,309.1,309.2,0.0,1418.0,75.54542415733096,1350.0,1581.0,17.0,46.95,5.154986798129442,36.7,52.5,1.6000000000000014,114.0,8.856886837057678,101.0,128.0,3.0,10.300000000000011,7656.050824822814,73109.90000000001,3.0,298.8,0.491,65.96756529681494,1.489,1,False,False
47,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.8,0.0471404520798235,298.7,298.9,-0.1000000000000227,309.11,0.0567646212207733,309.0,309.2,-0.1000000000000227,1444.2,148.53192698316843,1350.0,1843.0,354.0,45.86,7.955040330926463,25.8,52.5,-23.3,116.9,8.875058685252057,104.0,130.0,2.0,10.300000000000011,4979.36152408675,47549.4,2.0,298.7,0.258,46.60669564000781,1.843,0,True,False
48,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.8,0.0471404520798235,298.7,298.9,0.1000000000000227,309.11,0.0567646212207733,309.0,309.2,0.1000000000000227,1442.1,148.76189028107953,1350.0,1843.0,-425.0,46.57000000000001,7.603661398738545,25.8,52.5,20.5,119.8,8.929352346801796,106.0,133.0,3.0,10.300000000000011,6875.207970773071,65653.4,3.0,298.8,0.4629999999999999,35.04715212637451,1.418,0,False,False
49,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.79,0.0316227766027308,298.7,298.8,0.0,309.11,0.0567646212207733,309.0,309.2,0.0999999999999659,1446.7,147.29792183794623,1350.0,1843.0,7.0,46.89,7.85980633066461,25.8,53.9,7.600000000000001,122.7,8.65447860936761,111.0,135.0,2.0,10.399999999999975,8043.262591353267,76807.5,2.0,298.8,0.539,72.85752901537197,1.425,0,False,False
50,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.0471404520798235,298.7,298.9,0.0999999999999659,309.12,0.0632455532042776,309.0,309.2,0.0,1452.9,144.04432188276846,1362.0,1843.0,-13.0,46.05,7.639408063165331,25.8,53.9,-9.799999999999995,125.6,9.143303560530054,113.0,140.0,5.0,10.300000000000011,6520.815375497118,62269.2,5.0,298.9,0.441,84.26036629555469,1.412,1,True,False
51,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.81,0.0567646212203686,298.7,298.9,0.0,309.12,0.0632455532042776,309.0,309.2,-0.0999999999999659,1602.8,463.8631982240741,1368.0,2861.0,1449.0,41.97,15.18940054409287,4.6,53.9,-39.5,128.6,9.46572765295947,115.0,143.0,3.0,10.200000000000044,1378.1748092277942,13160.6,3.0,298.9,0.046,75.49565601530452,2.861,0,False,True
52,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.82,0.0632455532039378,298.7,298.9,0.0,309.12,0.0632455532042776,309.0,309.2,0.0,1604.3,463.04308654810944,1368.0,2861.0,-1478.0,42.38,15.506256801691372,4.6,54.9,50.3,131.6,9.430447143870484,117.0,145.0,2.0,10.200000000000044,7951.025431043872,75926.7,2.0,298.9,0.5489999999999999,58.01033090783076,1.383,0,False,True
53,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.82,0.0632455532039378,298.7,298.9,-0.0999999999999659,309.11,0.073786478738043,309.0,309.2,-0.1000000000000227,1617.2,457.4921492951181,1372.0,2861.0,114.0,41.85,15.340740964286349,4.6,54.9,-11.1,134.6,9.033271832509062,120.0,147.0,2.0,10.199999999999989,6866.327735538924,65568.59999999999,2.0,298.8,0.4379999999999999,80.18836306995533,1.497,0,False,True
54,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.81000000000006,0.0737864787377355,298.7,298.9,-0.1000000000000227,309.09000000000003,0.0737864787380511,309.0,309.2,0.0,1636.5,450.0084567106613,1383.0,2861.0,68.0,40.510000000000005,15.280448655426026,4.6,54.9,-8.699999999999996,137.8,8.954204474869856,125.0,152.0,5.0,10.300000000000011,5752.413228355591,54931.5,5.0,298.7,0.351,55.4923836559175,1.565,0,False,True
55,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.0816496580931817,298.7,298.9,0.0,309.08000000000004,0.0788810637754029,309.0,309.2,0.0,1658.4,446.42809549180976,1383.0,2861.0,126.0,38.77,15.386361204362489,4.6,54.9,-5.0,140.7,9.043720964784928,128.0,154.0,2.0,10.300000000000011,5330.141287811075,50899.100000000006,2.0,298.7,0.301,61.24670421217338,1.691,0,False,False
56,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.8,0.0816496580931817,298.7,298.9,0.1000000000000227,309.08000000000004,0.0788810637754029,309.0,309.2,0.1000000000000227,1660.7,445.51669129475073,1383.0,2861.0,-179.0,37.93,14.983772703976936,4.6,54.9,10.6,143.5,9.009254501159797,130.0,156.0,2.0,10.300000000000011,6444.286178455672,61538.4,2.0,298.8,0.407,58.85648836978416,1.512,1,False,True
57,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.81,0.0737864787377355,298.7,298.9,0.0,309.09000000000003,0.0737864787380468,309.0,309.2,0.0,1624.1,443.90726008430585,1383.0,2861.0,-35.0,39.59,14.398722937199052,4.6,54.9,1.6999999999999955,146.3,8.692908987598333,133.0,158.0,2.0,10.300000000000011,6558.053720417668,62624.8,2.0,298.8,0.424,57.38119363327625,1.477,0,True,False
58,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.81,0.0737864787377355,298.7,298.9,0.0,309.09000000000003,0.0737864787380468,309.0,309.2,0.0,1633.6,440.0058585468557,1383.0,2861.0,36.0,38.99,14.211845606941958,4.6,54.9,-2.1000000000000014,149.0,8.286535263104101,135.0,160.0,2.0,10.300000000000011,6385.171876690622,60973.9,2.0,298.8,0.4029999999999999,73.75953846469528,1.513,0,True,False
