UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_rolling_mean,Air_temperature_K_rolling_std,Air_temperature_K_rolling_min,Air_temperature_K_rolling_max,Air_temperature_K_change,Process_temperature_K_rolling_mean,Process_temperature_K_rolling_std,Process_temperature_K_rolling_min,Process_temperature_K_rolling_max,Process_temperature_K_change,Rotational_speed_rpm_rolling_mean,Rotational_speed_rpm_rolling_std,Rotational_speed_rpm_rolling_min,Rotational_speed_rpm_rolling_max,Rotational_speed_rpm_change,Torque_Nm_rolling_mean,Torque_Nm_rolling_std,Torque_Nm_rolling_min,Torque_Nm_rolling_max,Torque_Nm_change,Tool_wear_min_rolling_mean,Tool_wear_min_rolling_std,Tool_wear_min_rolling_min,Tool_wear_min_rolling_max,Tool_wear_min_change,temperature_difference,power_consumption,load_signal,tool_wear_change
24,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,0.14757295747481386,298.6,299.0,0.10000000000002274,309.26,0.06992058987906662,309.2,309.4,0.0999999999999659,1540.0,226.59802882343604,1306.0,2035.0,177.0,39.11,11.262173660335542,19.6,54.5,-5.0,53.2,10.07527225990005,40.0,68.0,3.0,10.399999999999977,4731.3013681593,45180.6,3.0
25,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,0.14757295747485838,298.6,299.0,0.0,309.28000000000003,0.07888106377561309,309.2,309.4,0.0,1492.6,147.2218280917158,1306.0,1758.0,-197.0,40.88,9.023647944275213,25.7,54.5,11.599999999999998,56.2,10.174041041351833,42.0,70.0,2.0,10.399999999999977,6097.339157768726,58225.299999999996,2.0
26,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,0.13498971154251693,298.6,299.0,0.0,309.31,0.09944289260196312,309.2,309.5,0.10000000000002274,1524.5,188.02201407754845,1306.0,1861.0,300.0,38.37,10.123355833582728,23.3,54.5,-13.999999999999996,59.3,10.08904796741939,44.0,73.0,3.0,10.5,4540.784717670103,43361.3,3.0
27,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.90999999999997,0.11972189997429525,298.7,299.1,0.10000000000002274,309.34000000000003,0.10749676997808093,309.2,309.5,0.0,1544.6,172.78901714068664,1306.0,1861.0,-349.0,37.61,9.713844644515266,23.3,54.5,15.7,62.4,9.617114374327121,47.0,75.0,2.0,10.399999999999977,6175.114519896098,58968.0,2.0
28,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,0.10801234497406621,298.8,299.1,0.0,309.36,0.09660917830881412,309.2,309.5,-0.10000000000002274,1584.7,184.23297448852352,1306.0,1861.0,299.0,35.51,10.058434824122056,23.3,54.5,-14.399999999999999,65.4,8.934328302800532,50.0,77.0,2.0,10.299999999999955,4665.327922433915,44550.600000000006,2.0
29,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,0.10327955589952402,298.8,299.1,0.0,309.38,0.07888106377578252,309.3,309.5,0.0,1598.0,165.75148734040255,1375.0,1861.0,-372.0,34.480000000000004,8.265295585223274,23.3,44.8,19.6,68.6,8.52708104283708,55.0,82.0,5.0,10.299999999999955,6660.574360679817,63603.8,5.0
30,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,0.09944289260186974,298.8,299.1,-0.10000000000002274,309.39,0.07378647873848046,309.3,309.5,0.0,1604.1,168.24548863028843,1375.0,1861.0,254.0,34.239999999999995,8.363438952435258,23.3,44.8,-14.100000000000001,71.5,8.316649966583121,58.0,84.0,2.0,10.399999999999977,5336.445417069278,50959.3,2.0
31,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,0.09944289260189387,298.8,299.1,0.10000000000002274,309.40999999999997,0.07378647873852112,309.3,309.5,0.10000000000002274,1600.5,173.97972423372937,1339.0,1861.0,-354.0,34.79,9.127546828754774,23.3,48.2,18.1,74.3,7.97287066662109,63.0,86.0,2.0,10.399999999999977,6758.592051471818,64539.8,2.0
32,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,0.06749485577215918,298.9,299.1,-0.10000000000002274,309.41999999999996,0.063245553204866,309.3,309.5,-0.10000000000002274,1635.3,175.3301964231429,1339.0,1861.0,459.0,32.86,8.810751008474455,23.3,48.2,-22.700000000000003,76.9,8.116512661098863,65.0,89.0,3.0,10.399999999999977,4801.296052481281,45849.0,3.0
33,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.05163977795089614,299.0,299.1,0.0,309.43,0.04830458915596634,309.4,309.5,0.0,1619.1,187.93583420353303,1339.0,1861.0,-379.0,34.62,10.007863574876186,23.3,48.3,22.799999999999997,79.5,8.045012257431468,68.0,91.0,2.0,10.399999999999977,7177.251160464705,68537.7,2.0
34,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,0.0674948557721482,298.9,299.1,-0.10000000000002274,309.41999999999996,0.063245553204866,309.3,309.5,-0.0999999999999659,1609.8,182.52171864678968,1339.0,1861.0,246.0,35.3,9.555219632338256,23.3,48.3,-15.799999999999997,82.0,7.958224257542237,70.0,93.0,2.0,10.400000000000034,5666.647748912589,54112.5,2.0
35,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,0.09944289260187436,298.8,299.1,-0.0999999999999659,309.39,0.11972189997453168,309.1,309.5,-0.19999999999998863,1609.6,182.58221892250828,1339.0,1861.0,-106.0,35.04,9.530092689300922,23.3,48.3,2.200000000000003,84.5,7.691987172809575,73.0,95.0,2.0,10.300000000000011,5665.056008634771,54097.3,2.0
36,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,0.11972189997432628,298.8,299.1,0.0,309.36,0.12649110640740485,309.1,309.5,0.0999999999999659,1568.7,164.9693911002888,1339.0,1811.0,-107.0,37.57000000000001,9.424795901120508,24.6,48.6,13.899999999999999,87.0,7.601169500660944,75.0,98.0,3.0,10.399999999999977,7389.7799034800555,70567.2,3.0
37,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,0.11595018087335567,298.8,299.1,0.0999999999999659,309.33,0.12516655570409094,309.1,309.5,0.0,1575.6,163.77301364999073,1339.0,1811.0,129.0,37.34,9.414079290556726,24.6,48.6,-11.899999999999999,89.6,7.4862837539359175,77.0,101.0,3.0,10.300000000000011,6076.122935381484,58022.700000000004,3.0
38,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.93999999999994,0.11737877907817829,298.8,299.1,-0.0999999999999659,309.3,0.14142135623782728,309.1,309.5,-0.0999999999999659,1538.4,145.60311351982378,1339.0,1798.0,-142.0,38.8,8.282914140969154,25.5,48.6,2.5,92.3,7.3037281195595485,82.0,104.0,3.0,10.300000000000011,5907.115722593864,56408.8,3.0
39,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.91999999999996,0.10327955589933865,298.8,299.1,0.0999999999999659,309.28000000000003,0.1398411797565225,309.1,309.5,0.0999999999999659,1532.4,151.27987308297168,1339.0,1798.0,-60.0,39.45,8.979513721057883,25.5,50.7,11.5,94.7,7.484057129065192,84.0,106.0,2.0,10.300000000000011,7321.51309511755,69915.3,2.0
40,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.9,0.1054092553393766,298.8,299.1,-0.0999999999999659,309.25,0.14337208778450503,309.1,309.5,-0.0999999999999659,1498.1,149.69706447058707,1339.0,1798.0,-29.0,41.690000000000005,9.1796211492874,25.5,52.5,1.7999999999999972,97.4,8.044321668799151,86.0,111.0,5.0,10.300000000000011,7422.0126441058865,70875.0,5.0
41,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.87,0.08232726023534595,298.8,299.0,0.0,309.21,0.11972189997429943,309.1,309.4,0.0,1500.4,147.13576497008918,1350.0,1798.0,12.0,41.410000000000004,8.99993209850929,25.5,52.5,-7.100000000000001,100.1,8.319321553534976,89.0,113.0,2.0,10.300000000000011,6475.3251138731375,61834.799999999996,2.0
42,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.85,0.0707106781191911,298.8,299.0,0.0,309.18,0.10327955589943955,309.1,309.4,0.0,1457.4,108.17393401369834,1350.0,1665.0,6.0,43.940000000000005,7.453738808290925,32.5,52.5,5.399999999999999,102.7,8.525126261691279,91.0,115.0,2.0,10.300000000000011,7277.436550187684,69494.4,2.0
43,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.83000000000004,0.04830458915471319,298.8,298.9,0.0,309.15,0.07071067811948062,309.1,309.3,0.0,1452.3,111.34136697562124,1350.0,1665.0,0.0,44.019999999999996,7.509815798895026,32.5,52.5,-1.6999999999999957,105.3,8.525126261691282,93.0,117.0,2.0,10.300000000000011,7033.900287681404,67168.8,2.0
44,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.82,0.04216370213642023,298.8,298.9,0.0,309.14,0.051639777950553835,309.1,309.2,0.0999999999999659,1423.0,84.45511628472609,1350.0,1581.0,4.0,45.62,6.40603881765739,34.7,52.5,-0.6000000000000014,108.0,8.472176684759267,95.0,120.0,3.0,10.399999999999977,6968.261945172401,66542.0,3.0
45,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.82,0.04216370213642023,298.8,298.9,0.0,309.14000000000004,0.051639777950553835,309.1,309.2,-0.0999999999999659,1414.3,72.52746606171529,1350.0,1581.0,100.0,46.9,5.134199061197369,36.7,52.5,-1.0,111.0,8.666666666666721,98.0,125.0,5.0,10.300000000000011,7322.005277966611,69920.0,5.0
46,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.82000000000005,0.04216370213642023,298.8,298.9,0.0,309.13,0.048304589155161844,309.1,309.2,0.0,1418.0,75.54542415733096,1350.0,1581.0,17.0,46.95,5.154986798129442,36.7,52.5,1.6000000000000014,114.0,8.856886837057678,101.0,128.0,3.0,10.300000000000011,7656.050824822814,73109.90000000001,3.0
47,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.8,0.047140452079823585,298.7,298.9,-0.10000000000002274,309.11,0.05676462122077335,309.0,309.2,-0.10000000000002274,1444.2,148.53192698316843,1350.0,1843.0,354.0,45.86,7.955040330926463,25.8,52.5,-23.3,116.9,8.875058685252057,104.0,130.0,2.0,10.300000000000011,4979.36152408675,47549.4,2.0
48,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.8,0.047140452079823585,298.7,298.9,0.10000000000002274,309.11,0.05676462122077335,309.0,309.2,0.10000000000002274,1442.1,148.76189028107953,1350.0,1843.0,-425.0,46.57000000000001,7.603661398738545,25.8,52.5,20.499999999999996,119.8,8.929352346801796,106.0,133.0,3.0,10.300000000000011,6875.207970773071,65653.4,3.0
49,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.79,0.03162277660273085,298.7,298.8,0.0,309.11,0.05676462122077335,309.0,309.2,0.0999999999999659,1446.7,147.29792183794623,1350.0,1843.0,7.0,46.89,7.85980633066461,25.8,53.9,7.600000000000001,122.7,8.65447860936761,111.0,135.0,2.0,10.399999999999977,8043.262591353267,76807.5,2.0
50,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.047140452079823585,298.7,298.9,0.0999999999999659,309.12,0.06324555320427763,309.0,309.2,0.0,1452.9,144.04432188276846,1362.0,1843.0,-13.0,46.05,7.639408063165331,25.8,53.9,-9.799999999999997,125.6,9.143303560530054,113.0,140.0,5.0,10.300000000000011,6520.815375497118,62269.200000000004,5.0
51,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.81,0.056764621220368634,298.7,298.9,0.0,309.12,0.06324555320427763,309.0,309.2,-0.0999999999999659,1602.8,463.86319822407404,1368.0,2861.0,1449.0,41.97,15.18940054409287,4.6,53.9,-39.5,128.6,9.46572765295947,115.0,143.0,3.0,10.200000000000045,1378.1748092277942,13160.599999999999,3.0
52,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.82,0.06324555320393785,298.7,298.9,0.0,309.12,0.06324555320427763,309.0,309.2,0.0,1604.3,463.04308654810944,1368.0,2861.0,-1478.0,42.379999999999995,15.506256801691372,4.6,54.9,50.3,131.6,9.430447143870483,117.0,145.0,2.0,10.200000000000045,7951.025431043872,75926.7,2.0
53,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.82,0.06324555320393786,298.7,298.9,-0.0999999999999659,309.11,0.07378647873804302,309.0,309.2,-0.10000000000002274,1617.2,457.4921492951181,1372.0,2861.0,114.0,41.85,15.340740964286349,4.6,54.9,-11.100000000000001,134.6,9.033271832509062,120.0,147.0,2.0,10.199999999999989,6866.327735538924,65568.59999999999,2.0
54,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.81000000000006,0.07378647873773551,298.7,298.9,-0.10000000000002274,309.09000000000003,0.07378647873805114,309.0,309.2,0.0,1636.5,450.0084567106613,1383.0,2861.0,68.0,40.510000000000005,15.280448655426026,4.6,54.9,-8.699999999999996,137.8,8.954204474869856,125.0,152.0,5.0,10.300000000000011,5752.413228355591,54931.5,5.0
55,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.08164965809318175,298.7,298.9,0.0,309.08000000000004,0.07888106377540291,309.0,309.2,0.0,1658.4,446.42809549180976,1383.0,2861.0,126.0,38.77,15.386361204362487,4.6,54.9,-5.0,140.7,9.043720964784928,128.0,154.0,2.0,10.300000000000011,5330.141287811075,50899.100000000006,2.0
56,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.8,0.08164965809318175,298.7,298.9,0.10000000000002274,309.08000000000004,0.07888106377540291,309.0,309.2,0.10000000000002274,1660.7,445.51669129475073,1383.0,2861.0,-179.0,37.93,14.983772703976937,4.6,54.9,10.600000000000001,143.5,9.009254501159795,130.0,156.0,2.0,10.300000000000011,6444.286178455672,61538.4,2.0
57,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.81,0.07378647873773551,298.7,298.9,0.0,309.09000000000003,0.07378647873804682,309.0,309.2,0.0,1624.1,443.90726008430585,1383.0,2861.0,-35.0,39.589999999999996,14.398722937199052,4.6,54.9,1.6999999999999957,146.3,8.692908987598333,133.0,158.0,2.0,10.300000000000011,6558.053720417668,62624.799999999996,2.0
58,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.81,0.07378647873773551,298.7,298.9,0.0,309.09000000000003,0.07378647873804682,309.0,309.2,0.0,1633.6,440.0058585468557,1383.0,2861.0,36.0,38.99,14.211845606941958,4.6,54.9,-2.1000000000000014,149.0,8.286535263104101,135.0,160.0,2.0,10.300000000000011,6385.171876690622,60973.899999999994,2.0
59,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.81,0.07378647873773551,298.7,298.9,0.0,309.07000000000005,0.0674948557719486,309.0,309.2,-0.10000000000002274,1657.2,433.86039741424247,1383.0,2861.0,148.0,36.55,13.441250768519355,4.6,54.9,-10.799999999999997,151.7,7.5872700404471916,140.0,162.0,2.0,10.199999999999989,5131.21564098577,48999.5,2.0
60,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.06666666666717719,298.7,298.9,0.0,309.06,0.05163977795062607,309.0,309.1,0.10000000000002274,1653.8,436.1227655909132,1378.0,2861.0,-283.0,37.58,14.44151423270196,4.6,54.9,24.9,154.2,7.420691791650375,143.0,165.0,3.0,10.300000000000011,7850.127946986078,74963.2,3.0
61,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.79,0.056764621220339276,298.7,298.9,0.0,309.06000000000006,0.05163977795062607,309.0,309.1,0.0,1507.0,109.04127658827275,1378.0,1691.0,15.0,42.38,9.336523264399151,29.5,54.9,-1.7999999999999972,156.6,7.2755297630711215,145.0,167.0,2.0,10.300000000000011,7673.004953176687,73271.8,2.0
62,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.78,0.04216370213634625,298.7,298.8,0.0,309.05,0.052704627670659705,309.0,309.1,-0.10000000000002274,1527.9,102.46457382378097,1378.0,1691.0,199.0,40.709999999999994,8.282303758952304,29.5,54.4,-14.399999999999999,159.0,6.97614984548547,147.0,169.0,2.0,10.199999999999989,6368.469075749038,60814.4,2.0
63,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.78000000000003,0.04216370213634625,298.7,298.8,0.0,309.05,0.052704627670659705,309.0,309.1,0.0,1561.1,138.71429470518055,1378.0,1829.0,237.0,38.620000000000005,9.895767894520475,22.9,54.4,-15.300000000000004,161.5,6.670832032063175,152.0,172.0,3.0,10.199999999999989,4386.092695407341,41884.1,3.0
64,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.80000000000007,0.04714045207982784,298.7,298.9,0.0999999999999659,309.05,0.052704627670659705,309.0,309.1,0.0,1585.8,159.86438697290373,1378.0,1829.0,-17.0,37.7,10.657704568370557,22.9,54.4,3.0,163.7,6.815831244650609,154.0,174.0,2.0,10.100000000000023,4914.581883569728,46930.799999999996,2.0
65,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.83000000000004,0.06749485577160089,298.8,299.0,0.10000000000002274,309.06000000000006,0.05163977795062607,309.0,309.1,0.10000000000002274,1569.0,156.36993175017912,1378.0,1829.0,-289.0,38.55,10.31775707753924,22.9,54.4,12.700000000000003,166.0,7.055336829505552,156.0,177.0,3.0,10.100000000000023,6156.244020023535,58787.8,3.0
66,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.85,0.08498365856033395,298.8,299.0,0.0,309.06,0.05163977795062607,309.0,309.1,0.0,1557.2,165.34395127195418,1378.0,1829.0,-129.0,38.989999999999995,10.511628481511954,22.9,54.4,6.5,168.3,7.180993431738121,158.0,179.0,2.0,10.100000000000023,6583.668172519939,62869.4,2.0
